"","Year","State_code","State","Population","Mechanism","pol_ubc","pol_vmisd","pol_mayissue","Age.Adjusted.Rate","logy","ur","law.officers","law.officers.pc","vcrime","vcrime.pc","alcc.pc","incarc","incarc.pc"
"62",2002,"GA","Georgia",8508256,"Firearm",0,0,0,13.39,2.59450815970308,5.30833333333333,26651,313.236931281804,38665,454.440957112715,2.1276,47445,557.634843145293
"63",2002,"HI","Hawaii",1239613,"Firearm",0,1,1,2.82,1.03673688495002,4.05,3553,286.621711776175,3238,261.210555229737,2.2785,3722,300.254998939185
"64",2002,"IA","Iowa",2934234,"Firearm",0,0,1,6.73,1.90657514365664,4,7529,256.59166923974,8344,284.367231788603,2.0362,8398,286.207575810246
"65",2002,"ID","Idaho",1340372,"Firearm",0,0,0,12.42,2.51930807650533,5.61666666666667,3502,261.270751701766,3383,252.392619362386,2.0473,4185,312.226754960563
"66",2002,"IL","Illinois",12525556,"Firearm",0,1,1,9.69,2.27109442590267,6.55,50441,402.704678339229,74798,597.163111960858,2.2631,42693,340.847144829339
"67",2002,"IN","Indiana",6155967,"Firearm",0,0,0,11.68,2.45787797740008,5.19166666666667,17292,280.898191949372,21639,351.512605574396,1.9283,19506,316.863297025471
"68",2002,"KS","Kansas",2713535,"Firearm",0,0,1,9.71,2.27315628230323,5.08333333333333,9980,367.785932372348,10151,374.087675301774,1.8812,8967,330.45455466762
"69",2002,"KY","Kentucky",4089875,"Firearm",0,0,0,13.05,2.5687881337687,5.79166666666667,10035,245.362022066689,10910,266.756318958403,1.7652,9948,243.234817690027
"70",2002,"LA","Louisiana",4497267,"Firearm",0,0,0,19.31,2.96062309644042,5.99166666666667,22539,501.171044547722,29097,646.992940379124,2.2628,20010,444.936891672209
"71",2002,"MA","Massachusetts",6417206,"Firearm",0,1,1,3.13,1.14103300455206,5.21666666666667,19749,307.75075632604,30964,482.515287805939,2.4713,9879,153.945502139093
"72",2002,"MD","Maryland",5440389,"Firearm",1,1,1,11.54,2.44581926107995,4.775,19516,358.724348571398,41502,762.849862390355,2.1191,23987,440.905971981048
"73",2002,"ME","Maine",1295960,"Firearm",0,1,0,6.63,1.89160480419777,4.45833333333333,2927,225.855736288157,1382,106.639093799191,2.328,1847,142.519830858977
"74",2002,"MI","Michigan",10015710,"Firearm",0,0,0,10.99,2.39698576841553,6.19166666666667,28081,280.369539453519,53628,535.438825604975,2.1266,50131,500.523677302957
"75",2002,"MN","Minnesota",5018935,"Firearm",0,1,1,6.06,1.80170980008122,4.46666666666667,12583,250.71055911264,13316,265.315251143918,2.4139,6855,136.582761083776
"76",2002,"MO","Missouri",5674825,"Firearm",0,0,1,12.21,2.50225528812261,5.28333333333333,18838,331.957373134854,30226,532.633164899358,2.2717,29795,525.03821703753
"77",2002,"MS","Mississippi",2858681,"Firearm",0,0,0,17.34,2.8530159713524,6.425,8381,293.177168071569,9594,335.609324720037,2.1321,11920,416.975521228147
"78",2002,"MT","Montana",911667,"Firearm",0,0,0,14.61,2.68170622576261,4.55,2707,296.928593444756,3181,348.92126182038,2.6503,1907,209.177254414167
"79",2002,"NC","North Carolina",8326201,"Firearm",0,0,0,13.43,2.59749101053515,6.925,27852,334.510300676143,38570,463.236474834081,2.0164,32918,395.354375903248
"80",2002,"ND","North Dakota",638168,"Firearm",0,1,0,9.12,2.21046980408624,3.375,1542,241.629163480463,491,76.9389878527284,2.4997,1094,171.428213260458
"81",2002,"NE","Nebraska",1728292,"Firearm",0,0,1,8.05,2.08567209143047,3.68333333333333,NA,NA,5380,311.289990348853,2.2329,4048,234.219680470661
"82",2002,"NH","New Hampshire",1269089,"Firearm",0,0,0,5.91,1.77664583141801,4.49166666666667,2523,198.804023988861,2044,161.060414202629,4.0941,2475,195.021783342224
"83",2002,"NJ","New Jersey",8552643,"Firearm",0,1,1,4.88,1.58514521986506,5.76666666666667,38931,455.192622912005,31913,373.136117104385,2.2436,23700,277.107322262837
"84",2002,"NM","New Mexico",1855309,"Firearm",0,0,0,16.61,2.8100049236252,5.48333333333333,5660,305.07047613093,13567,731.252853298292,2.3959,3301,177.92184482477
"85",2002,"NV","Nevada",2173791,"Firearm",0,0,0,17.06,2.83673654206353,5.68333333333333,8312,382.373466446406,13675,629.085316849688,3.5591,9667,444.706965849063
"86",2002,"NY","New York",19137800,"Firearm",0,1,1,5.13,1.63510565918268,6.2,80990,423.193888534732,94121,491.806790749198,1.9197,66925,349.700592544598
"87",2002,"OH","Ohio",11407889,"Firearm",0,0,1,9.31,2.23108909128898,5.79166666666667,33621,294.717103225671,39602,347.145733974095,1.9477,43357,380.06155214168
"88",2002,"OK","Oklahoma",3489080,"Firearm",0,0,0,12.81,2.55022611590864,4.625,10585,303.375101746019,17424,499.38665780091,1.8233,15526,444.988363694728
"89",2002,"OR","Oregon",3513424,"Firearm",0,1,0,10.49,2.35042242240821,7.475,7679,218.561722126336,10226,291.055107496277,2.3405,11650,331.58537085191
"90",2002,"PA","Pennsylvania",12331031,"Firearm",1,1,0,9.96,2.29857707159651,5.53333333333333,28183,228.553476185406,48954,396.998434275285,2.0569,39187,317.791756423287
"91",2002,"RI","Rhode Island",1065995,"Firearm",1,0,1,5.14,1.63705307946707,5.10833333333333,3122,292.871917785731,3010,282.365301901041,2.3956,3473,325.798901495786
"92",2002,"SC","South Carolina",4107795,"Firearm",0,0,0,13.69,2.61666563930036,6.43333333333333,12128,295.243555240707,33463,814.621956548465,2.2956,22875,556.868100769391
"93",2002,"SD","South Dakota",760020,"Firearm",0,1,0,7.91,2.06812778177956,3.23333333333333,2016,265.256177469014,1339,176.179574221731,2.3357,2911,383.016236414831
"94",2002,"TN","Tennessee",5795918,"Firearm",0,0,0,15.4,2.73436750941958,5.125,23962,413.428899442677,41142,709.844411187322,1.8582,14097,243.22290273948
