Year,State,State_code,State_num_code,Population,firearm.deaths.pc,Region,pol_ubc,pol_vmisd,pol_mayissue,ur,law.officers.pc,vcrime.pc,homi.pc,alcc.pc,incarc.pc,prop18.24
2002,Delaware,DE,10,806169,9.07,South,0,1,1,4.266666667,384.6587998,596.6490897,3.225130215,3.0109,823.276509,10.0077031
2002,District of Columbia,DC,11,573158,29.79,South,NA,NA,NA,6.983333333,855.2615509,839.2101305,46.0605976,3.6617,NA,12.5281336
2002,Florida,FL,12,16689370,10.97,South,0,0,0,4.958333333,418.0025969,765.8168043,5.458564344,2.5807,450.6461298,8.725613969
2002,Georgia,GA,13,8508256,13.39,South,0,0,0,5.308333333,313.2369313,454.4409571,7.122493728,2.1276,557.6348431,10.31386456
2002,Hawaii,HI,15,1239613,2.82,West,0,1,1,4.05,286.6217118,261.2105552,1.936088118,2.2785,300.2549989,10.05394426
2002,Idaho,ID,16,1340372,12.42,West,0,0,0,5.616666667,261.2707517,252.3926194,2.685821548,2.0473,312.226755,10.9458419
2002,Illinois,IL,17,12525556,9.69,Midwest,0,1,1,6.55,402.7046783,597.163112,7.672314107,2.2631,340.8471448,9.848089777
2002,Indiana,IN,18,6155967,11.68,Midwest,0,0,0,5.191666667,280.8981919,351.5126056,5.880473368,1.9283,316.863297,10.26511351
2002,Iowa,IA,19,2934234,6.73,Midwest,0,0,1,4,256.5916692,284.3672318,1.499539573,2.0362,286.2075758,10.45189307
2002,Kansas,KS,20,2713535,9.71,Midwest,0,0,1,5.083333333,367.7859324,374.0876753,2.874479231,1.8812,330.4545547,10.62647064
2002,Kentucky,KY,21,4089875,13.05,South,0,0,0,5.791666667,245.3620221,266.756319,4.670069379,1.7652,243.2348177,10.12373239
2002,Louisiana,LA,22,4497267,19.31,South,0,0,0,5.991666667,501.1710445,646.9929404,13.18578595,2.2628,444.9368917,11.00039202
2002,Maine,ME,23,1295960,6.63,Northeast,0,1,0,4.458333333,225.8557363,106.6390938,1.080280256,2.328,142.5198309,8.491234297
2002,Maryland,MD,24,5440389,11.54,South,1,1,1,4.775,358.7243486,762.8498624,9.429472782,2.1191,440.905972,8.908149766
2002,Massachusetts,MA,25,6417206,3.13,Northeast,0,1,1,5.216666667,307.7507563,482.5152878,2.695877302,2.4713,153.9455021,9.39348059
2002,Michigan,MI,26,10015710,10.99,Midwest,0,0,0,6.191666667,280.3695395,535.4388256,6.769365327,2.1266,500.5236773,9.670607476
2002,Minnesota,MN,27,5018935,6.06,Midwest,0,1,1,4.466666667,250.7105591,265.3152511,2.231549123,2.4139,136.5827611,9.892596736
2002,Mississippi,MS,28,2858681,17.34,South,0,0,0,6.425,293.1771681,335.6093247,9.235028323,2.1321,416.9755212,11.0979854
2002,Missouri,MO,29,5674825,12.21,Midwest,0,0,1,5.283333333,331.9573731,532.6331649,5.832778984,2.2717,525.038217,9.930755574
2002,Montana,MT,30,911667,14.61,West,0,0,0,4.55,296.9285934,348.9212618,1.755026781,2.6503,209.1772544,10.08164165
2002,Nebraska,NE,31,1728292,8.05,Midwest,0,0,1,3.683333333,NA,311.2899903,2.777308464,2.2329,234.2196805,10.5457874
2002,Nevada,NV,32,2173791,17.06,West,0,0,0,5.683333333,382.3734664,629.0853168,8.326467448,3.5591,444.7069658,8.993826913
2002,New Hampshire,NH,33,1269089,5.91,Northeast,0,0,0,4.491666667,198.804024,161.0604142,0.945560162,4.0941,195.0217833,8.757620624
2002,New Jersey,NJ,34,8552643,4.88,Northeast,0,1,1,5.766666667,455.1926229,373.1361171,3.963687015,2.2436,277.1073223,8.163990944
2002,New Mexico,NM,35,1855309,16.61,West,0,0,0,5.483333333,305.0704761,731.2528533,8.192705366,2.3959,177.9218448,10.30103341
2002,New York,NY,36,19137800,5.13,Northeast,0,1,1,6.2,423.1938885,491.8067907,4.749762251,1.9197,349.7005925,9.496399795
2002,North Carolina,NC,37,8326201,13.43,South,0,0,0,6.925,334.5103007,463.2364748,6.581633088,2.0164,395.3543759,9.983496675
2002,North Dakota,ND,38,638168,9.12,Midwest,0,1,0,3.375,241.6291635,76.93898785,0.783492748,2.4997,171.4282133,12.35238997
2002,Ohio,OH,39,11407889,9.31,Midwest,0,0,1,5.791666667,294.7171032,347.145734,4.610844303,1.9477,380.0615521,9.559498694
2002,Oklahoma,OK,40,3489080,12.81,South,0,0,0,4.625,303.3751017,499.3866578,4.671718619,1.8233,444.9883637,10.82001559
2002,Oregon,OR,41,3513424,10.49,West,0,1,0,7.475,218.5617221,291.0551075,2.049282979,2.3405,331.5853709,9.818683996
2002,Pennsylvania,PA,42,12331031,9.96,Northeast,1,1,0,5.533333333,228.5534762,396.9984343,5.060404114,2.0569,317.7917564,9.247815531
2002,Rhode Island,RI,44,1065995,5.14,Northeast,1,0,1,5.108333333,292.8719178,282.3653019,3.846171886,2.3956,325.7989015,10.57753554
2002,South Carolina,SC,45,4107795,13.69,South,0,0,0,6.433333333,295.2435552,814.6219565,7.254500285,2.2956,556.8681008,10.29681374
2002,South Dakota,SD,46,760020,7.91,Midwest,0,1,0,3.233333333,265.2561775,176.1795742,1.447330333,2.3357,383.0162364,10.68563985
2002,Tennessee,TN,47,5795918,15.4,South,0,0,0,5.125,413.4288994,709.8444112,7.246479333,1.8582,243.2229027,9.795549212
2002,Texas,TX,48,21690325,10.83,South,0,0,0,6.358333333,357.1361886,574.9844689,6.002676308,2.2082,625.500079,10.78993053
2002,Utah,UT,49,2324815,9.6,West,0,0,0,5.666666667,295.5934128,234.0401279,2.02166624,1.3018,184.3157413,14.35486264
2002,Vermont,VT,50,615442,9.75,Northeast,0,0,0,3.833333333,218.2171513,104.8027271,2.112303028,2.4768,221.1418785,9.844956958
2002,Virginia,VA,51,7286873,11.01,South,0,0,0,4.358333333,295.6000468,286.3779841,5.324643369,1.9994,403.0260991,9.870502752
2002,Washington,WA,53,6052349,9.34,West,0,0,0,7.075,227.1349521,343.3377685,3.040141935,2.1729,268.7055885,9.954267343
2002,West Virginia,WV,54,1805414,14.67,South,0,1,0,6.458333333,219.2848842,230.6396206,3.157170599,1.7393,198.0155244,9.670912046
2002,Wisconsin,WI,55,5445162,8.08,Midwest,0,0,1,5.325,291.0473554,221.921772,2.828198684,2.8239,334.2967574,10.01283341
2002,Wyoming,WY,56,500017,18.87,West,0,0,0,4.008333333,397.7864753,269.7908271,2.999898003,2.5686,222.7924251,10.78883318
2003,Alabama,AL,1,4503491,16.8,South,0,0,1,5.983333333,339.4255701,422.6054854,6.639293828,1.899,575.4646784,10.13766876
2003,Alaska,AK,2,648326,19.24,West,0,0,0,7.683333333,279.4890225,591.9861304,6.015492206,2.4261,475.9951012,10.52614533
2003,Arizona,AZ,4,5510364,15.29,West,0,0,0,5.783333333,342.1734027,511.7084824,8.003101066,2.4883,521.9437409,10.16010921
2003,Arkansas,AR,5,2724816,14.96,South,0,0,0,5.758333333,282.7713871,450.2689356,6.60595064,1.7664,442.8922907,10.09690196
2003,California,CA,6,35253159,9.78,West,1,1,1,6.891666667,324.0702486,576.2433942,6.827756911,2.2301,458.9234117,10.23506291
2003,Colorado,CO,8,4528732,11.13,West,0,0,0,6.108333333,341.066771,343.8490067,4.085028657,2.6031,362.9492759,10.30456207
2003,Connecticut,CT,9,3484336,4.37,Northeast,1,1,1,5.45,275.7770778,313.7757093,3.214385754,2.2319,517.2578075,8.403035758
2003,Delaware,DE,10,818003,7.86,South,0,1,1,4.466666667,376.6489854,672.858168,2.567227749,3.1219,810.5104749,10.0493519
2003,District of Columbia,DC,11,568502,25.72,South,NA,NA,NA,7.275,821.9847951,968.1584234,43.79931821,3.762,NA,12.55844307
2003,Florida,FL,12,17004085,11.05,South,0,0,0,4.466666667,404.3028484,725.4492082,5.433988362,2.6087,468.0875213,8.898720513
2003,Georgia,GA,13,8622793,13.72,South,0,0,0,5.141666667,358.8628418,449.7150749,7.619340972,2.1268,547.4792216,10.24432571
2003,Hawaii,HI,15,1251154,2.89,West,0,1,1,3.908333333,285.5763559,269.9907445,1.758376667,2.3754,321.3832989,10.12009713
2003,Idaho,ID,16,1363380,12.33,West,0,0,0,5.566666667,259.5021197,244.686001,1.907025187,2.0748,314.732503,11.02817996
2003,Illinois,IL,17,12556006,9.01,Midwest,0,1,1,6.725,400.6289898,553.3686429,7.128062857,2.3551,345.7946739,9.884225923
2003,Indiana,IN,18,6196638,11.19,Midwest,0,0,0,5.275,279.6677811,347.0268878,5.454570688,1.9592,333.9391457,10.31706225
2003,Iowa,IA,19,2941999,6.94,Midwest,0,0,1,4.45,254.8267352,276.1727655,1.699524711,2.0702,290.4827636,10.60469429
2003,Kansas,KS,20,2723004,11.13,Midwest,0,0,1,5.55,373.0438883,393.168721,4.590518413,1.8882,336.6869825,10.75753102
2003,Kentucky,KY,21,4117170,13.38,South,0,0,0,6.191666667,244.9255192,244.1239978,4.39622362,1.7451,243.3710534,10.07507584
2003,Louisiana,LA,22,4521042,18.61,South,0,0,0,6.283333333,471.9487233,620.1667669,12.91737613,2.3807,431.2722598,11.09478744
2003,Maine,ME,23,1306513,6.02,Northeast,0,1,0,5.15,223.4956713,107.6146965,1.224633815,2.3902,148.7930086,8.689389237
