"","State_code","Year","State","X","Population","Mechanism","pol_ubc","pol_vmisd","pol_mayissue","Age.Adjusted.Rate","logy","ur","law.officers","law.officers.pc","vcrime","vcrime.pc","alcc.pc","incarc","incarc.pc","prop18.24","Region"
"328","IN",2020,"Indiana",985,6785644,"Firearm",0,0,0,17.2,2.84490938381941,7.34166666666667,11629,171.376511941976,23656,348.618347794255,2.3314,23726,349.64993742672,NA,"Midwest"
"329","IN",2013,"Indiana",628,6570575,"Firearm",0,0,0,13.03,2.56725439113675,7.5,9703,147.67352933343,24893,378.855731804294,2.0859,28495,433.67589594518,10.2350643116848,"Midwest"
"330","IN",2015,"Indiana",730,6611442,"Firearm",0,0,0,12.72,2.54317555791198,4.78333333333333,13292,201.045399778142,26760,404.752851193431,2.1365,26586,402.12105014307,10.1116272538285,"Midwest"
"331","IN",2014,"Indiana",679,6596019,"Firearm",0,0,0,12.34,2.51284601847724,5.95,11955,181.245687739832,25380,384.777545364863,2.0468,28073,425.605202168156,10.2128201037241,"Midwest"
"332","IN",2001,"Indiana",16,6127760,"Firearm",0,0,0,11.82,2.46979301197795,4.24166666666667,16691,272.38338316122,22321,364.260349622048,1.9617,18731,305.674504223403,10.2545138843558,"Midwest"
"333","IN",2009,"Indiana",424,6459325,"Firearm",0,0,0,11.33,2.42745407503992,10.4333333333333,16856,260.956059650196,21143,327.325223610826,2.0511,24269,375.720373258816,10.0446254059054,"Midwest"
"334","IN",2019,"Indiana",934,6731010,"Firearm",0,0,0,14,2.63905732961526,3.29166666666667,11135,165.428368105232,24633,365.962908983941,2.1997,26952,400.415390855161,9.79981489015732,"Midwest"
"335","IN",2012,"Indiana",577,6538989,"Firearm",0,0,0,12.16,2.49815187653802,8.225,12032,184.003979820122,22237,340.067860643289,2.0839,23783,363.710659247171,10.1941308744065,"Midwest"
"336","IN",2016,"Indiana",781,6637898,"Firearm",0,0,0,14.89,2.70068984669592,4.36666666666667,7342,110.607303697646,27898,420.283650034996,2.1669,25143,378.779547380812,10.0179762639758,"Midwest"
"337","KS",2014,"Kansas",680,2901861,"Firearm",0,0,0,11.28,2.42303124606991,4.50833333333333,10249,353.187144387688,11209,386.269363005327,1.9236,9539,328.720086868392,10.3953662762134,"Midwest"
"338","KS",2003,"Kansas",119,2723004,"Firearm",0,0,1,11.13,2.40964416528745,5.55,10158,373.043888293958,10706,393.168721015467,1.8882,9168,336.686982464954,10.7575310208872,"Midwest"
"339","KS",2021,"Kansas",1037,2934582,"Firearm",NA,NA,NA,17.38,2.85532011983725,3.30833333333333,7941,270.600719284723,12929,440.57381937189,2.1826,8337,284.094975025404,NA,"Midwest"
"340","KS",2006,"Kansas",272,2762931,"Firearm",0,0,1,10.84,2.3832429960115,4.425,10451,378.257727029738,11835,428.349459324174,1.9374,8833,319.69672785893,10.7288600402978,"Midwest"
"341","KS",2001,"Kansas",17,2702162,"Firearm",0,0,1,9.93,2.29556047805708,4.26666666666667,9905,366.558333660232,10817,400.309085835712,1.7958,8574,317.301479333956,10.4675811442837,"Midwest"
"342","KS",2005,"Kansas",221,2745299,"Firearm",0,0,1,9.25,2.22462355152433,5.06666666666667,10412,379.266520695924,10600,386.114590796849,1.8872,9090,331.111474560694,10.8053439716402,"Midwest"
"343","KS",2019,"Kansas",935,2912635,"Firearm",0,0,0,13.7,2.61739583283408,3.275,10659,365.957286100043,11716,402.247449474445,1.9821,9784,335.915760127857,10.0970921774996,"Midwest"
"344","KS",2018,"Kansas",884,2912748,"Firearm",0,0,0,14.63,2.68307421503203,3.35833333333333,9121,313.140717974916,12739,437.353317211101,1.9228,9938,341.189831732783,10.1519256127465,"Midwest"
"345","KS",2007,"Kansas",323,2783785,"Firearm",0,0,0,10.35,2.33698651971138,4.23333333333333,10532,378.333815291052,12624,453.483297021861,1.9586,8721,313.27850390745,10.4447362134648,"Midwest"
"346","KS",2013,"Kansas",629,2894306,"Firearm",0,0,0,11.18,2.41412646772695,5.3,9249,319.558471011704,10814,373.630155208192,1.8841,9515,328.74892979526,10.369271245937,"Midwest"
"347","KS",2011,"Kansas",527,2869677,"Firearm",0,0,0,11.36,2.43009841329301,6.38333333333333,10058,350.492407333648,10098,351.886292429427,1.8989,9256,322.545011163277,10.1458059232023,"Midwest"
"348","KS",2004,"Kansas",170,2734373,"Firearm",0,0,1,10.73,2.37304355664261,5.50833333333333,9966,364.471123727451,10208,373.321415915093,1.8608,8991,328.813954789635,10.8330502093167,"Midwest"
"349","KS",2020,"Kansas",986,2935880,"Firearm",0,0,0,16.72,2.81660560765656,5.85,8107,276.135264384103,12285,418.443533114432,2.1117,8574,292.041909069853,NA,"Midwest"
"350","KS",2012,"Kansas",578,2886024,"Firearm",0,0,0,13.06,2.56955412384829,5.71666666666667,9675,335.236297411248,10207,353.669962550554,1.9497,9422,326.469911546127,10.2937797222223,"Midwest"
"351","KS",2010,"Kansas",476,2853120,"Firearm",0,0,0,10.44,2.34564458245449,6.93333333333333,10565,370.296377299237,10505,368.193416330193,1.9515,9055,317.371859578286,10.106605928927,"Midwest"
"352","KS",2002,"Kansas",68,2713535,"Firearm",0,0,1,9.71,2.27315628230323,5.08333333333333,9980,367.785932372348,10151,374.087675301774,1.8812,8967,330.45455466762,10.6264706370104,"Midwest"
"353","KS",2008,"Kansas",374,2808076,"Firearm",0,0,0,9.7,2.27212588550934,4.60833333333333,10284,366.229404047469,11441,407.431992581397,2.0115,8556,304.692608034825,10.4098322125185,"Midwest"
"354","KS",2016,"Kansas",782,2912977,"Firearm",0,0,0,13.3,2.58776403522771,4.01666666666667,9290,318.917725749294,12726,436.872656392412,1.9185,9653,331.379204161241,10.292581807888,"Midwest"
"355","KS",2009,"Kansas",425,2832704,"Firearm",0,0,0,10.76,2.37583555473364,6.89166666666667,10227,361.033133006484,11335,400.147703395766,1.9897,8644,305.150132170534,10.198947719211,"Midwest"
"356","KS",2015,"Kansas",731,2910717,"Firearm",0,0,0,11.33,2.42745407503992,4.15,10495,360.564080946379,12583,432.298983377635,1.9099,9533,327.513805017801,10.3832883409516,"Midwest"
"357","KS",2017,"Kansas",833,2910892,"Firearm",0,0,0,15.88,2.76506045581899,3.61666666666667,9612,330.208059934893,11520,395.754978199122,1.9749,9701,333.265541971327,10.1648561324955,"Midwest"
"358","KY",2004,"Kentucky",171,4146101,"Firearm",0,0,0,13.05,2.5687881337687,5.5,10164,245.145981730788,9916,239.16445836703,1.8117,11576,279.202074430893,10.0632136071938,"South"
"359","KY",2014,"Kentucky",681,4416992,"Firearm",0,0,0,13.94,2.63476240533238,6.41666666666667,9315,210.890126131087,10429,236.110909868073,1.8746,12114,274.259043258398,9.74861751982002,"South"
"360","KY",2006,"Kentucky",273,4219239,"Firearm",0,0,0,12.47,2.52332575969195,5.725,10194,241.607550555918,11188,265.166301316422,1.8249,13082,310.055912926478,9.59957471003657,"South"
"361","KY",2005,"Kentucky",222,4182742,"Firearm",0,0,0,12.94,2.56032328907275,5.875,10219,244.313419283331,10944,261.646546691142,1.7956,12680,303.15042142212,9.89967824933979,"South"
"362","KY",2003,"Kentucky",120,4117170,"Firearm",0,0,0,13.38,2.59376105470008,6.19166666666667,10084,244.925519228013,10051,244.123997794602,1.7451,10020,243.37105341776,10.0750758409296,"South"
"363","KY",2013,"Kentucky",630,4406906,"Firearm",0,0,0,13.53,2.6049094421827,7.91666666666667,9120,206.947913116368,10059,228.255379170783,1.8479,12141,275.499409336165,9.82241758102046,"South"
"364","KY",2010,"Kentucky",477,4339330,"Firearm",0,0,0,12.48,2.52412736294128,10.2666666666667,10106,232.893096399675,10416,240.037056411935,1.8327,12374,285.15922965066,9.56188346345288,"South"
"365","KY",2021,"Kentucky",1038,4509394,"Firearm",NA,NA,NA,20.95,3.04213864636815,4.425,9839,218.188962862859,11747,260.50063489684,2.2423,9069,201.113497733842,NA,"South"
"366","KY",2011,"Kentucky",528,4370817,"Firearm",0,0,0,13.83,2.62684014567667,9.375,9063,207.352538438466,10314,235.974189722425,1.792,11951,273.42714188217,9.64696265590742,"South"
"367","KY",2020,"Kentucky",987,4503958,"Firearm",0,0,0,20.05,2.99822915375258,6.45,9697,215.299520999086,11277,250.379777076074,2.1158,9078,201.556053586645,NA,"South"
"368","KY",2018,"Kentucky",885,4464273,"Firearm",0,0,0,16.83,2.82316300820271,4.2,9693,217.123818368635,9469,212.106204078469,1.9565,12290,275.296784045241,9.3293594727641,"South"
"369","KY",2015,"Kentucky",732,4429126,"Firearm",0,0,0,15.1,2.71469474382088,5.23333333333333,10153,229.232584487323,10833,244.585500615697,1.966,11959,270.008123498857,9.63430438845579,"South"
"370","KY",2012,"Kentucky",579,4387865,"Firearm",0,0,0,14.67,2.68580459215489,8.2,9729,221.725144233015,9651,219.947514337839,1.8685,12186,277.720485931085,9.74416974857889,"South"
"371","KY",2019,"Kentucky",936,4472345,"Firearm",0,0,0,14.89,2.70068984669592,4.1,9585,214.317097629991,9643,215.613956436724,2.0198,12220,273.234734797964,9.26553935348447,"South"
"372","KY",2007,"Kentucky",324,4256672,"Firearm",0,0,0,14.12,2.6475922320651,5.36666666666667,10303,242.043549514738,12123,284.799956397862,1.8451,12960,304.463205057848,9.57734117169469,"South"
"373","KY",2009,"Kentucky",426,4317074,"Firearm",0,0,0,12.78,2.54788144894939,10.7666666666667,10455,242.177919581643,10816,250.54006486801,1.8457,12493,289.385820117978,9.52110156091834,"South"
"374","KY",2016,"Kentucky",783,4440306,"Firearm",0,0,0,17.45,2.85933964864844,5.03333333333333,4961,111.726534162285,11429,257.392170719766,1.9758,11867,267.256355755662,9.47678576498215,"South"
"375","KY",2008,"Kentucky",375,4289878,"Firearm",0,0,0,13.28,2.58625914404829,6.525,10188,237.489271256665,12489,291.127160259569,1.8515,13051,304.227765917819,9.50031679222579,"South"
"376","KY",2017,"Kentucky",834,4455590,"Firearm",0,0,0,16.19,2.78439376768954,4.775,9803,220.015755489172,10027,225.043148045489,1.9719,12008,269.504150965416,9.39885020398592,"South"
"377","KY",2002,"Kentucky",69,4089875,"Firearm",0,0,0,13.05,2.5687881337687,5.79166666666667,10035,245.362022066689,10910,266.756318958403,1.7652,9948,243.234817690027,10.1237323879092,"South"
"378","KY",2001,"Kentucky",18,4068132,"Firearm",0,0,0,12.69,2.5408142817263,5.20833333333333,9968,245.026464234691,10329,253.900315918952,1.6276,9692,238.24202361182,10.1095539672754,"South"
"379","LA",2014,"Louisiana",682,4645938,"Firearm",0,0,0,18.98,2.94338579318178,6.25,14322,308.269288139446,24488,527.084089370112,2.5852,15568,335.088414869075,10.0174353517098,"South"
"380","LA",2010,"Louisiana",478,4533500,"Firearm",0,0,0,19.11,2.95021175825218,7.51666666666667,18493,407.918826513731,24741,545.737289070255,2.5476,16087,354.847248262931,10.4476984648804,"South"
"381","LA",2006,"Louisiana",274,4302665,"Firearm",0,0,0,19.02,2.94549105711724,4.13333333333333,19503,453.277213076082,30368,705.795129297772,2.6256,20815,483.769942582097,10.6831928583796,"South"
"382","LA",2018,"Louisiana",886,4664450,"Firearm",0,0,0,21.29,3.05823747890539,4.825,18843,403.970457395834,24781,531.273783618647,2.5508,14880,319.008671976332,9.11399685386796,"South"
"383","LA",2015,"Louisiana",733,4666998,"Firearm",0,0,0,20.37,3.01406323023871,6.29166666666667,17661,378.423131957631,25956,556.160512603605,2.5889,15295,327.72673140207,9.7507453970606,"South"
"384","LA",2005,"Louisiana",223,4576628,"Firearm",0,0,0,18.35,2.90962957450058,7.05833333333333,16901,369.289354520402,26439,577.696067934733,2.4126,19371,423.259220544034,10.9660431217045,"South"
"385","LA",2019,"Louisiana",937,4658285,"Firearm",0,0,0,22.08,3.09467222140889,4.61666666666667,16413,352.339970611502,25525,547.948440252153,2.5623,15042,322.908538228125,9.01401524782557,"South"
"386","LA",2020,"Louisiana",988,4651203,"Firearm",0,0,0,26.15,3.26384919051093,8.66666666666667,9038,194.315320144057,28970,622.849615465074,2.5871,13903,298.911915906487,NA,"South"
"387","LA",2009,"Louisiana",427,4491648,"Firearm",0,0,0,18.03,2.89203703721523,6.79166666666667,15724,350.071955772135,28349,631.149190675672,2.6339,19889,442.799613861104,10.5347079735545,"South"
"388","LA",2013,"Louisiana",631,4626040,"Firearm",0,0,0,19.1,2.94968833505258,6.41666666666667,10987,237.50335059792,24881,537.846624758973,2.5845,15636,337.999671425236,10.2333708939314,"South"
"389","LA",2003,"Louisiana",121,4521042,"Firearm",0,0,0,18.61,2.92369907065416,6.28333333333333,21337,471.948723325286,28038,620.166766864807,2.3807,19498,431.272259802054,11.0947874405944,"South"
"390","LA",2004,"Louisiana",172,4552238,"Firearm",0,0,0,19.52,2.97143958098495,5.7,21439,470.955165349439,28270,621.013224703981,2.362,19470,427.7017150685,11.1236055759826,"South"
"391","LA",2007,"Louisiana",325,4375581,"Firearm",0,0,0,19.77,2.98416563718253,4.09166666666667,21030,480.621887699028,31164,712.225416464693,2.6571,20461,467.617900342834,10.6631553615394,"South"
"392","LA",2021,"Louisiana",1039,4624047,"Firearm",NA,NA,NA,29.06,3.36936265814214,5.6,13398,289.746189863555,29759,643.570448137746,2.7372,13231,286.134634877197,NA,"South"
"393","LA",2011,"Louisiana",529,4576244,"Firearm",0,0,0,18.76,2.93172694357808,7.43333333333333,20593,449.997858505796,24867,543.393228158289,2.5723,15893,347.293544662391,10.3874334107362,"South"
"394","LA",2008,"Louisiana",376,4435586,"Firearm",0,0,0,18.34,2.90908446682832,4.66666666666667,22621,509.988984544545,29069,655.35872824921,2.6435,20857,470.219718431792,10.5766859215445,"South"
"395","LA",2016,"Louisiana",784,4681346,"Firearm",0,0,0,21.2,3.05400118167797,6.06666666666667,20985,448.268510808643,27251,582.118903409404,2.5905,15059,321.680986622224,9.44793170782801,"South"
"396","LA",2001,"Louisiana",19,4477875,"Firearm",0,0,0,17.46,2.85991255041146,5.6,20900,466.73924573598,30177,673.913407587304,2.4053,19660,439.0475392904,10.8528040644279,"South"
"397","LA",2012,"Louisiana",580,4602067,"Firearm",0,0,0,18.42,2.91343703082716,6.76666666666667,19364,420.767450799825,22350,485.651338844046,2.5942,15645,339.955937190832,10.3293608394052,"South"
"398","LA",2002,"Louisiana",70,4497267,"Firearm",0,0,0,19.31,2.96062309644042,5.99166666666667,22539,501.171044547722,29097,646.992940379124,2.2628,20010,444.936891672209,11.0003920158621,"South"
"399","LA",2017,"Louisiana",835,4673673,"Firearm",0,0,0,21.68,3.07639017657145,5.10833333333333,20046,428.913190974208,25410,543.683736538692,2.5689,15152,324.198975837633,9.22887191257579,"South"
"400","MA",2006,"Massachusetts",275,6410084,"Firearm",0,1,1,3.22,1.16938135955632,4.7,20410,318.404563809148,32029,499.665839012406,2.5555,10773,168.063320231061,9.9397293389603,"Northeast"
"401","MA",2005,"Massachusetts",224,6403290,"Firearm",0,1,1,3.42,1.22964055107451,4.8,19579,305.764692837588,29466,460.16969401667,2.513,10348,161.604425225158,9.73797844545538,"Northeast"
"402","MA",2010,"Massachusetts",479,6547788,"Firearm",0,1,1,4.03,1.39376637595859,8.05833333333333,19574,298.94064988054,30523,466.157425988746,2.4969,11162,170.469783077888,10.4341450986072,"Northeast"
"403","MA",2020,"Massachusetts",989,7022220,"Firearm",0,1,1,3.66,1.29746314741327,9.425,20521,292.229522857444,21128,300.873512934656,2.5777,6568,93.5316751682516,NA,"Northeast"
"404","MA",2013,"Massachusetts",632,6715158,"Firearm",0,1,1,3.05,1.11514159061932,6.64166666666667,19651,292.636450251803,28848,429.595253008194,2.5542,10622,158.179450133564,10.3970988997239,"Northeast"
"405","MA",2014,"Massachusetts",683,6764864,"Firearm",0,1,1,3.11,1.13462272619114,5.74166666666667,20036,296.17742500071,28181,416.578958571821,2.5422,10447,154.430303402995,10.3759118539685,"Northeast"
"406","MA",2017,"Massachusetts",836,6863560,"Firearm",0,1,1,3.68,1.30291275218084,3.79166666666667,20111,293.011207012104,24146,351.79994055563,2.576,8859,129.072959222328,10.2161451321608,"Northeast"
"407","MA",2007,"Massachusetts",326,6431559,"Firearm",0,1,1,3.55,1.26694760348732,4.51666666666667,20315,315.864318433524,28300,440.017731315222,2.5915,11071,172.135558423704,10.0893111607932,"Northeast"
"408","MA",2011,"Massachusetts",530,6614218,"Firearm",0,1,1,3.69,1.30562645805244,7.225,19771,298.916667095037,28048,424.056177162591,2.5407,11467,173.368945504971,10.4568280159181,"Northeast"
"409","MA",2002,"Massachusetts",71,6417206,"Firearm",0,1,1,3.13,1.14103300455206,5.21666666666667,19749,307.75075632604,30964,482.515287805939,2.4713,9879,153.945502139093,9.39348058952759,"Northeast"
"410","MA",2019,"Massachusetts",938,6894883,"Firearm",0,1,1,3.39,1.22082992139236,3.01666666666667,20099,291.506034257579,22509,326.459491770926,2.5649,7923,114.911304513797,10.0213376766031,"Northeast"
"411","MA",2016,"Massachusetts",785,6827280,"Firearm",0,1,1,3.41,1.22671229129543,4.04166666666667,20215,296.091562086219,27441,401.931662389707,2.5618,9038,132.380684547873,10.2756782042579,"Northeast"
