Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1929,-.45,-.58,-.33,-.40,-.38,-.43,-.36,-.32,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.37,-.17
1930,-.29,-.27,-.11,-.24,-.24,-.21,-.21,-.15,-.15,-.11,.18,-.05,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.21,-.10,-.22,-.19,-.08,-.04,-.03,-.07,.05,-.05,-.05,-.09,-.09,-.12,-.17,-.05,-.02
1932,.15,-.17,-.18,-.05,-.17,-.29,-.25,-.21,-.10,-.09,-.27,-.26,-.16,-.14,-.02,-.13,-.25,-.15
1933,-.23,-.29,-.29,-.25,-.29,-.34,-.21,-.23,-.29,-.25,-.30,-.44,-.28,-.27,-.26,-.28,-.26,-.28
1934,-.21,-.03,-.29,-.31,-.10,-.15,-.11,-.12,-.16,-.06,.04,-.02,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.33,.14,-.14,-.36,-.29,-.27,-.22,-.22,-.21,-.05,-.26,-.17,-.20,-.19,-.07,-.26,-.24,-.17
1936,-.28,-.38,-.21,-.20,-.17,-.22,-.10,-.13,-.09,-.03,.01,-.01,-.15,-.16,-.27,-.19,-.15,-.04
1937,-.07,.03,-.21,-.16,-.05,-.05,-.04,.02,.09,.09,.08,-.07,-.03,-.02,-.02,-.14,-.02,.09
1938,.08,.03,.09,.06,-.10,-.17,-.09,-.05,.00,.15,.08,-.12,.00,.00,.01,.02,-.11,.08
1939,-.05,-.06,-.17,-.09,-.04,-.07,-.06,-.06,-.07,-.03,.07,.44,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.18,.11,.12,.12,.07,.15,.12,.17,.32,.13,.14,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.20,.27,.14,.17,.20
1942,.30,.03,.05,.10,.11,.05,.01,-.03,-.03,.02,.10,.13,.07,.08,.18,.09,.01,.03
1943,-.01,.17,-.03,.11,.07,-.05,.08,.01,.05,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.24,.26,.19,.18,.16,.18,.18,.28,.26,.11,.04,.20,.22,.28,.21,.17,.22
1945,.10,.00,.06,.19,.05,.00,.03,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.02,.01,.05,-.07,-.21,-.13,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.03,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.13,.07,.03,-.14,-.03,-.04,-.15,.03,-.04,-.01
1948,.06,-.15,-.25,-.12,-.01,-.05,-.11,-.12,-.15,-.05,-.12,-.24,-.11,-.10,-.07,-.13,-.09,-.11
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.15,-.06,-.10,-.18,-.11,-.12,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,.00,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.02,.13,-.03,.02,-.02
1953,.07,.15,.11,.19,.11,.11,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.17,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.12,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.16,-.09,-.26,-.19,-.23,-.14,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.04,.01,.10,.16,.03,.13,.08,.00,.07,.15,.05,.03,-.06,.02,.11,.05
1958,.39,.21,.09,.01,.05,-.07,.06,-.03,-.02,.04,.02,.01,.06,.08,.25,.05,-.01,.02
1959,.08,.07,.17,.14,.05,.03,.03,.00,-.06,-.06,-.08,.00,.03,.03,.05,.12,.02,-.07
1960,.00,.15,-.34,-.15,-.07,-.04,-.04,.03,.06,.05,-.11,.19,-.02,-.04,.05,-.19,-.02,.00
1961,.07,.19,.10,.12,.13,.11,.01,.01,.08,.02,.03,-.16,.06,.09,.15,.12,.04,.04
1962,.06,.15,.11,.06,-.07,.05,.02,-.02,.02,.02,.06,-.02,.04,.02,.02,.03,.02,.03
1963,-.03,.19,-.13,-.07,-.06,.03,.07,.22,.18,.14,.14,-.03,.05,.05,.04,-.09,.11,.15
1964,-.09,-.10,-.22,-.32,-.25,-.04,-.05,-.21,-.30,-.31,-.22,-.29,-.20,-.18,-.07,-.26,-.10,-.28
1965,-.08,-.17,-.12,-.20,-.11,-.08,-.14,-.05,-.14,-.06,-.06,-.08,-.11,-.13,-.18,-.14,-.09,-.09
1966,-.19,-.05,.03,-.14,-.12,.00,.08,-.08,-.03,-.16,-.01,-.03,-.06,-.06,-.11,-.08,.00,-.07
1967,-.08,-.21,.05,-.04,.11,-.08,.03,-.01,-.05,.10,-.04,-.05,-.02,-.02,-.11,.04,-.02,.00
1968,-.26,-.15,.20,-.06,-.13,-.08,-.13,-.08,-.17,.09,-.05,-.14,-.08,-.07,-.15,.00,-.09,-.05
1969,-.11,-.17,.01,.17,.18,.04,-.04,.03,.08,.10,.12,.24,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.11,.03,.02,-.12,.02,.05,.18,.02,-.04,.05
1971,-.03,-.16,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.01,-.03,.04,.01,.16,.02,.08,.02,.17,.01,-.01,-.16,.00,.07,.04
1973,.28,.33,.29,.27,.22,.19,.13,.05,.09,.10,.05,-.06,.16,.18,.26,.26,.12,.08
1974,-.11,-.27,-.05,-.11,-.04,-.05,-.03,.10,-.08,-.06,-.07,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.03,-.12,-.17,-.17,-.01,-.01,.03,.11,-.06,-.11
1976,-.03,-.06,-.22,-.07,-.21,-.13,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.12,-.12
1977,.18,.22,.24,.27,.32,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.03,.08
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.25,.29,.48,.16,.13,.02,.12,.11,.26
