countryCode,popData2019,continentExp,Land_Area_sqkm,HealthExp,GDPpc,Obese_Pcent,Over_65s,Diabetis
PAN,4314768,America,74300,7.26584625,15575.06352,22.7,8.313836605,7.7
PER,32971846,America,1280000,5.23800182,7046.169557,19.7,8.39347886,6.6
PHL,109581085,Asia,298000,4.40060663,3102.726941,6.4,5.31499622,7.1
PNG,8947027,Oceania,453000,2.36706114,2693.968627,21.3,3.509425418,17.9
POL,37958138,Europe,306000,6.33085012,15459.78294,23.1,18.11689725,6.1
PRI,2860840,America,NA,NA,NA,NA,19.69708953,13.7
PRT,10295909,Europe,91600,9.40783501,23546.04854,20.8,22.35669072,9.8
PRY,7132530,America,397000,6.65451145,6016.861186,20.3,6.620824696,9.6
PSE,5101416,Asia,6020,NA,NA,NA,3.1734124,9.5
PYF,280904,Oceania,NA,NA,NA,NA,8.68067615,19.5
QAT,2881060,Asia,11600,2.49480486,68793.56013,35.1,1.523163117,15.6
ROU,19328838,Europe,230000,5.55660582,12368.24045,22.5,18.79006579,6.9
RUS,145934460,Europe,16400000,5.31590033,11456.36823,23.1,15.09412523,6.1
RWA,12952209,Africa,24700,7.54268694,773.0470998,5.8,3.028253062,5.1
SAU,34813867,Asia,2150000,6.3615365,23337.0272,35.4,3.4128866,15.8
SDN,43849269,Africa,NA,NA,NA,6.6,3.627317326,22.1
SEN,16743930,Africa,193000,3.97799659,1480.735544,8.8,3.098476445,2.4
SGP,5850343,Asia,709,4.46444654,63247.21524,6.1,12.39312948,5.5
SLB,686878,Oceania,28000,4.47443104,2122.365549,22.5,3.63080993,19
SLE,7976985,Africa,72200,16.06307983,533.9914543,8.7,2.947736623,2.4
SLV,6486201,America,20700,7.10940361,4058.251175,24.6,8.469582569,8.8
SMR,34453,Europe,60,7.14421701,48482.57805,NA,NA,5.9
SOM,15893219,Africa,627000,NA,NA,8.3,2.889203812,5.1
SRB,6926705,Europe,87500,8.53899002,7226.6934,21.5,18.74050342,9
SSD,11193729,Africa,NA,NA,NA,6.6,3.376805137,10.2
STP,219161,Africa,960,6.26645994,2001.136271,NA,2.960159214,2.4
SUR,586634,America,156000,7.96947193,5949.284754,26.4,7.015129728,12.5
SVK,5457873,Europe,48100,6.68639565,19441.14008,20.5,16.17236389,6.5
SVN,2095861,Europe,20100,8.29891014,26142.93823,20.2,20.18628401,5.9
SWE,10327589,Europe,407000,10.8985014,54885.58404,20.6,20.19856962,4.8
SWZ,1160164,Africa,17200,6.54034519,4145.653556,16.5,4.014789266,4.5
SXM,42882,America,NA,NA,NA,NA,NA,6.8
SYC,98340,Africa,460,5.11036491,16301.75124,14,7.805481947,12.3
SYR,17500657,Asia,184000,NA,NA,27.8,4.691855102,13.5
TCA,38718,America,NA,NA,NA,NA,NA,0
TCD,16425859,Africa,1260000,4.09880257,713.3428246,6.1,2.491641623,6
TGO,8278737,Africa,54400,6.16532087,678.5822478,8.4,2.887347591,2.4
THA,69799978,Asia,511000,3.79303908,7274.285077,10,12.40625033,7
TJK,9537642,Asia,139000,7.2394805,826.6217122,14.2,3.085961212,6.1
TLS,1318442,Asia,NA,NA,NA,3.8,4.286535114,6.7
TTO,1399491,America,5130,6.93182945,16206.74283,18.6,11.11820802,11
TUN,11818618,Africa,155000,7.29209566,3449.581006,26.9,8.593468556,8.5
TUR,83154997,Europe,770000,4.12414074,9453.255138,32.1,8.726283826,11.1
TWN,23816775,Asia,NA,NA,NA,NA,NA,NA
TZA,59734213,Africa,886000,3.62868047,1014.771498,8.4,2.620541103,5.7
UGA,45741000,Africa,201000,6.52623558,660.991775,5.3,1.962550187,2.5
UKR,43733759,Europe,579000,7.72391653,2956.920696,24.1,16.70499039,6.1
URY,3473727,America,175000,9.20269966,17278.06205,27.9,14.94124043,7.3
USA,331002647,America,9150000,16.88529778,62917.74617,36.2,16.20960614,10.8
UZB,33469199,Asia,425000,5.29149055,1554.746481,16.6,4.595215725,6.5
VAT,809,Europe,NA,NA,NA,NA,NA,NA
VCT,110947,America,390,4.47178459,7362.980841,23.7,9.740570943,11.6
VEN,28435943,America,882000,3.56269026,7212.158554,25.6,7.610990373,7
VGB,30237,America,NA,NA,NA,NA,NA,14.2
VIR,104423,America,NA,NA,NA,NA,19.87511714,12.3
VNM,97338583,Asia,310000,5.91789675,2563.176009,2.1,7.553672942,6
VUT,307150,Oceania,12200,3.37372637,3123.892405,25.2,3.616088995,11.9
WLF,11246,Oceania,NA,NA,NA,NA,NA,NA
YEM,29825968,Asia,528000,NA,NA,17.1,2.902140675,5.4
ZAF,59308690,Africa,1210000,8.25342083,6372.592985,28.3,5.415255608,12.7
ZMB,18383956,Africa,743000,4.93484306,1539.902809,8.1,2.115314738,4.5
ZWE,14862927,Africa,387000,4.73433113,2963.888555,15.5,2.980608063,1.8
